STORE_LOCATION;PRODUCT_CATEGORY;PRODUCT_DETAIL;PRODUCT_TYPE;REVENUE;NUMBER_OF_SALES;TRANSACTION_DATE;DAY_NAME;MONTH_NAME;HOUR_OF_DAY;DAY_CLASSIFICATION;TRANSACTION_TIME;TIME_CATEGORISATIONS
Lower Manhattan;Tea;Traditional Blend Chai Rg;Brewed Chai tea;7,5;1;2023/01/21;Sat;Jan;14;Weekend;14:39:37.000;Afternoon
Lower Manhattan;Drinking Chocolate;Sustainably Grown Organic Rg;Hot chocolate;11,25;1;2023/01/18;Wed;Jan;10;Weekday;10:58:42.000;Morning
Hell's Kitchen;Bakery;Jumbo Savory Scone;Scone;3,75;1;2023/01/20;Fri;Jan;16;Weekday;16:44:10.000;Evening
Astoria;Drinking Chocolate;Dark chocolate Lg;Hot chocolate;4,5;1;2023/01/22;Sun;Jan;8;Weekend;08:50:23.000;Morning
Hell's Kitchen;Coffee beans;Jamacian Coffee River;Premium Beans;19,75;1;2023/01/22;Sun;Jan;9;Weekend;09:01:28.000;Morning
Astoria;Drinking Chocolate;Dark chocolate Rg;Hot chocolate;7;1;2023/01/22;Sun;Jan;9;Weekend;09:17:42.000;Morning
Hell's Kitchen;Tea;Lemon Grass Rg;Brewed herbal tea;5;1;2023/01/22;Sun;Jan;10;Weekend;10:02:55.000;Morning
Lower Manhattan;Coffee;Ethiopia Rg;Gourmet brewed coffee;3;1;2023/01/22;Sun;Jan;11;Weekend;11:10:48.000;Morning
Hell's Kitchen;Tea;Traditional Blend Chai Rg;Brewed Chai tea;5;1;2023/01/22;Sun;Jan;14;Weekend;14:25:42.000;Afternoon
Astoria;Tea;Earl Grey Rg;Brewed Black tea;2,5;1;2023/01/22;Sun;Jan;18;Weekend;18:31:55.000;Evening
Lower Manhattan;Coffee;Brazilian Lg;Organic brewed coffee;3,5;1;2023/01/23;Mon;Jan;7;Weekday;07:03:31.000;Morning
Hell's Kitchen;Coffee;Jamaican Coffee River Sm;Premium brewed coffee;4,9;1;2023/01/23;Mon;Jan;9;Weekday;09:40:41.000;Morning
Astoria;Tea;Lemon Grass Lg;Brewed herbal tea;6;1;2023/01/23;Mon;Jan;11;Weekday;11:49:52.000;Morning
Lower Manhattan;Branded;I Need My Bean! Latte cup;Housewares;14;1;2023/01/23;Mon;Jan;12;Weekday;12:59:19.000;Afternoon
Hell's Kitchen;Coffee;Cappuccino Lg;Barista Espresso;8,5;1;2023/01/23;Mon;Jan;17;Weekday;17:19:38.000;Evening
Lower Manhattan;Tea;English Breakfast Lg;Brewed Black tea;3;1;2023/01/24;Tue;Jan;8;Weekday;08:05:20.000;Morning
Astoria;Bakery;Hazelnut Biscotti;Biscotti;3,25;1;2023/01/24;Tue;Jan;11;Weekday;11:22:58.000;Morning
Lower Manhattan;Tea;Traditional Blend Chai Lg;Brewed Chai tea;6;1;2023/01/24;Tue;Jan;11;Weekday;11:31:21.000;Morning
Astoria;Bakery;Chocolate Chip Biscotti;Biscotti;3,5;1;2023/01/24;Tue;Jan;17;Weekday;17:57:57.000;Evening
Lower Manhattan;Coffee;Ethiopia Rg;Gourmet brewed coffee;6;1;2023/01/25;Wed;Jan;9;Weekday;09:12:16.000;Morning
Astoria;Tea;Lemon Grass Rg;Brewed herbal tea;5;1;2023/01/25;Wed;Jan;11;Weekday;11:16:23.000;Morning
Astoria;Coffee;Columbian Medium Roast Rg;Gourmet brewed coffee;5;1;2023/01/25;Wed;Jan;12;Weekday;12:22:55.000;Afternoon
Hell's Kitchen;Drinking Chocolate;Dark chocolate Rg;Hot chocolate;7;1;2023/01/25;Wed;Jan;16;Weekday;16:48:46.000;Evening
Astoria;Drinking Chocolate;Dark chocolate Lg;Hot chocolate;4,5;1;2023/01/26;Thu;Jan;9;Weekday;09:07:55.000;Morning
Astoria;Coffee;Espresso shot;Barista Espresso;3;1;2023/01/26;Thu;Jan;12;Weekday;12:39:31.000;Afternoon
Astoria;Coffee;Columbian Medium Roast Sm;Gourmet brewed coffee;4;1;2023/01/26;Thu;Jan;12;Weekday;12:47:21.000;Afternoon
Lower Manhattan;Coffee;Jamaican Coffee River Rg;Premium brewed coffee;3,1;1;2023/01/27;Fri;Jan;7;Weekday;07:28:50.000;Morning
Hell's Kitchen;Flavours;Sugar Free Vanilla syrup;Sugar free syrup;0,8;1;2023/01/27;Fri;Jan;9;Weekday;09:48:33.000;Morning
Hell's Kitchen;Drinking Chocolate;Sustainably Grown Organic Lg;Hot chocolate;9,5;1;2023/01/27;Fri;Jan;10;Weekday;10:15:07.000;Morning
Lower Manhattan;Coffee;Ethiopia Lg;Gourmet brewed coffee;7;1;2023/01/27;Fri;Jan;15;Weekday;15:00:30.000;Afternoon
Astoria;Tea;Peppermint Lg;Brewed herbal tea;3;1;2023/01/27;Fri;Jan;19;Weekday;19:14:03.000;Evening
Hell's Kitchen;Tea;Morning Sunrise Chai Rg;Brewed Chai tea;2,5;1;2023/01/28;Sat;Jan;10;Weekend;10:02:31.000;Morning
Astoria;Coffee;Columbian Medium Roast Rg;Gourmet brewed coffee;5;1;2023/01/28;Sat;Jan;12;Weekend;12:33:03.000;Afternoon
Astoria;Bakery;Jumbo Savory Scone;Scone;3,75;1;2023/01/28;Sat;Jan;14;Weekend;14:46:23.000;Afternoon
Hell's Kitchen;Drinking Chocolate;Dark chocolate Lg;Hot chocolate;4,5;1;2023/01/28;Sat;Jan;16;Weekend;16:00:38.000;Evening
Hell's Kitchen;Tea;Lemon Grass Rg;Brewed herbal tea;5;1;2023/01/28;Sat;Jan;16;Weekend;16:15:12.000;Evening
Lower Manhattan;Bakery;Jumbo Savory Scone;Scone;3,75;1;2023/01/29;Sun;Jan;12;Weekend;12:21:32.000;Afternoon
Hell's Kitchen;Loose Tea;Lemon Grass;Herbal tea;8,95;1;2023/01/24;Tue;Jan;7;Weekday;07:57:30.000;Morning
Lower Manhattan;Tea;English Breakfast Rg;Brewed Black tea;5;1;2023/01/26;Thu;Jan;9;Weekday;09:39:37.000;Morning
Lower Manhattan;Drinking Chocolate;Dark chocolate Rg;Hot chocolate;7;1;2023/01/30;Mon;Jan;8;Weekday;08:21:34.000;Morning
